"chart_index","chart","chart_type","threshold","validity","lambda","r","kappa","k","n_rep","mean_Rk","sd_Rk","se_Rk","ci_lower","ci_upper","mcse_ratio","censored_rate","lower_bound","ratio","n0","alpha_nominal","ks_engine"
16,"Qbar(lambda=0.90,r=1.00,alpha=0.05)","qbar",0.05,"marginal",0.9,1,NA,1,500,4172.842,11502.4306120492,514.40433510033,3164.62802971208,5181.05597028792,0.123274337993226,0,10.5,397.413523809524,50,0.05,"asymp"
16,"Qbar(lambda=0.90,r=1.00,alpha=0.05)","qbar",0.05,"marginal",0.9,1,NA,5,500,18230.464,36500.794967826,1632.36517561682,15031.0870461736,21429.8409538264,0.089540517214308,0.012,50.5,360.999287128713,50,0.05,"asymp"
17,"Qbar(lambda=0.90,r=2.00,alpha=0.05)","qbar",0.05,"marginal",0.9,2,NA,1,500,42448.642,68786.0594436504,3076.20609640687,36419.38884202,48477.89515798,0.0724688930309448,0.116,10.5,4042.72780952381,50,0.05,"asymp"
17,"Qbar(lambda=0.90,r=2.00,alpha=0.05)","qbar",0.05,"marginal",0.9,2,NA,5,500,83965.608,86028.3233956054,3847.30358205818,76425.031541574,91506.184458426,0.045819993134072,0.31,50.5,1662.68530693069,50,0.05,"asymp"
18,"Qbar(lambda=0.95,r=1.00,alpha=0.05)","qbar",0.05,"marginal",0.95,1,NA,1,500,670.862,1650.36693161671,73.8066529382541,526.203618421575,815.520381578425,0.110017638408874,0,10.5,63.891619047619,50,0.05,"asymp"
18,"Qbar(lambda=0.95,r=1.00,alpha=0.05)","qbar",0.05,"marginal",0.95,1,NA,5,500,3419.088,6152.69690450077,275.156970468325,2879.79024778693,3958.38575221307,0.0804767149802301,0,50.5,67.7047128712871,50,0.05,"asymp"
19,"Qbar(lambda=0.95,r=2.00,alpha=0.05)","qbar",0.05,"marginal",0.95,2,NA,1,500,11287.766,30062.8668495483,1344.4522774823,8652.68795720184,13922.8440427982,0.119107029458469,0.006,10.5,1075.02533333333,50,0.05,"asymp"
19,"Qbar(lambda=0.95,r=2.00,alpha=0.05)","qbar",0.05,"marginal",0.95,2,NA,5,500,37019.2,60649.5990181148,2712.33252425219,31703.1259383691,42335.2740616309,0.073268264150824,0.07,50.5,733.053465346535,50,0.05,"asymp"
1,"raw P_t alpha=0.1","p_shewhart",0.1,"marginal",NA,NA,NA,1,500,33.31,48.6464268955018,2.17553434801632,29.0460310307582,37.5739689692418,0.0653117486645548,0,5.5,6.05636363636364,50,0.1,"asymp"
1,"raw P_t alpha=0.1","p_shewhart",0.1,"marginal",NA,NA,NA,5,500,165.868,163.72369857461,7.32194639081029,151.517248777279,180.218751222721,0.0441432126197355,0,25.5,6.50462745098039,50,0.1,"asymp"
2,"Qtilde(lambda=0.50,r=-0.90,alpha=0.1)","qtilde",0.1,"marginal",0.5,-0.9,NA,1,500,14215.446,33050.6403683893,1478.06957127234,11318.4828736616,17112.4091263384,0.103976306566276,0.016,5.5,2584.62654545455,50,0.1,"asymp"
2,"Qtilde(lambda=0.50,r=-0.90,alpha=0.1)","qtilde",0.1,"marginal",0.5,-0.9,NA,5,500,49680.592,67393.4769193287,3013.92791263364,43773.4018392381,55587.7821607619,0.0606661030253754,0.104,25.5,1948.25850980392,50,0.1,"asymp"
3,"Qtilde(lambda=0.50,r=-0.80,alpha=0.1)","qtilde",0.1,"marginal",0.5,-0.8,NA,1,500,5710.182,14418.4017064449,644.810526850194,4446.37659052132,6973.98740947868,0.11292293780657,0.002,5.5,1038.21490909091,50,0.1,"asymp"
3,"Qtilde(lambda=0.50,r=-0.80,alpha=0.1)","qtilde",0.1,"marginal",0.5,-0.8,NA,5,500,26173.854,43115.6238747964,1928.18931752715,22394.6723822719,29953.0356177281,0.0736685288122701,0.022,25.5,1026.42564705882,50,0.1,"asymp"
4,"Qtilde(lambda=0.50,r=-0.50,alpha=0.1)","qtilde",0.1,"marginal",0.5,-0.5,NA,1,500,3387.598,8349.72441317364,373.411027624916,2655.72583442507,4119.47016557493,0.11022884876686,0,5.5,615.926909090909,50,0.1,"asymp"
4,"Qtilde(lambda=0.50,r=-0.50,alpha=0.1)","qtilde",0.1,"marginal",0.5,-0.5,NA,5,500,16068.438,27107.8547540171,1212.30011908346,13692.3734281428,18444.5025718572,0.0754460464099535,0.004,25.5,630.134823529412,50,0.1,"asymp"
5,"Qtilde(lambda=0.50,r=0.50,alpha=0.1)","qtilde",0.1,"marginal",0.5,0.5,NA,1,500,120793.5,90687.9132779193,4055.68677654067,112844.499985405,128742.500014595,0.0335753726528386,0.536,5.5,21962.4545454545,50,0.1,"asymp"
5,"Qtilde(lambda=0.50,r=0.50,alpha=0.1)","qtilde",0.1,"marginal",0.5,0.5,NA,5,500,146739.162,82452.311619229,3687.37947365183,139512.03103431,153966.29296569,0.0251288028594019,0.682,25.5,5754.47694117647,50,0.1,"asymp"
6,"Qtilde(lambda=0.70,r=-0.90,alpha=0.1)","qtilde",0.1,"marginal",0.7,-0.9,NA,1,500,6746.172,16700.617506446,746.874320212724,5282.32523140523,8210.01876859477,0.110710832782313,0.004,5.5,1226.57672727273,50,0.1,"asymp"
6,"Qtilde(lambda=0.70,r=-0.90,alpha=0.1)","qtilde",0.1,"marginal",0.7,-0.9,NA,5,500,33087.506,50312.9420212298,2250.06317014951,28677.4632235669,37497.5487764331,0.068003407997856,0.038,25.5,1297.54925490196,50,0.1,"asymp"
