"n","scenario","change_time","chart","n_started","n_conditioned","prechange_signal_rate","mean_delay","sd_delay","se_delay","delay_ci_lower","delay_ci_upper","delay_censored_rate","delay_estimand","mean_postchange_observations","PTS_10","PTS_10_lower","PTS_10_upper","PTS_25","PTS_25_lower","PTS_25_upper","PTS_obs_50","PTS_obs_100","PTS_obs_200"
8,"cauchy",1,"KS-EWMA(0.2)",8000,8000,0,22.52675,21.3321920401926,0.238501157554753,22.0592877311927,22.9942122688073,0,"ECD",180.214,0.331875,0.321639103121797,0.342272286628844,0.6965,0.686332525028606,0.70647884695057,0.1765,0.39775,0.6965
8,"cauchy",50,"KS-EWMA(0.2)",10000,7299,0.2701,23.6861213864913,23.1235137926764,0.270658797058727,23.1556301442562,24.2166126287264,0,"ECD",189.48897109193,0.315522674338951,0.304960557884354,0.32627887636546,0.678175092478422,0.667365987084063,0.688796742777146,0.181394711604329,0.384436224140293,0.678175092478422
8,"cauchy",1,"Bakir Shew-KS",8000,8000,0,46.694625,49.2530060345031,0.550665347946782,45.6153209180243,47.7739290819757,0,"ECD",373.557,0.206,0.197279641257932,0.215002580819026,0.437125,0.426287986938716,0.448022369228253,0.129375,0.239875,0.437125
8,"cauchy",50,"Bakir Shew-KS",10000,7459,0.2541,48.3470974661483,50.5312729115039,0.585086307884173,47.2003283026953,49.4938666296013,0,"ECD",386.776779729186,0.196407025070385,0.18754830228384,0.205578305146767,0.418554766054431,0.407403921622354,0.429789460587446,0.122536533047325,0.231398310765518,0.418554766054431
8,"normal_location",1,"Raw exact KS p",8000,8000,0,25.58675,41.8511608488411,0.467910202976433,24.6696460021662,26.5038539978338,0,"ECD",204.694,0.408,0.397276991017398,0.418811323374031,0.693375,0.683180054117612,0.703384317671055,0.27175,0.46275,0.693375
8,"normal_location",50,"Raw exact KS p",10000,7440,0.256,25.5538978494624,36.7626064183581,0.426206262642876,24.7185335746823,26.3892621242424,0,"ECD",204.431182795699,0.397311827956989,0.386248157828754,0.408481488218523,0.688844086021505,0.678228809813333,0.699264445819619,0.269354838709677,0.448924731182796,0.688844086021505
8,"normal_location",1,"Qtilde(0.95,1)",8000,8000,0,18.7895,27.7671715651249,0.310446415812593,18.1810250250073,19.3979749749927,0,"ECD",150.316,0.52725,0.516299089996385,0.538174751664849,0.780375,0.771169595189806,0.789311261902618,0.388875,0.577875,0.780375
8,"normal_location",50,"Qtilde(0.95,1)",10000,7338,0.2662,20.0073589533933,27.4783064659949,0.320775439886601,19.3786390912156,20.636078815571,0,"ECD",160.058871627146,0.47492504769692,0.463515250582139,0.486361085622118,0.763832106841101,0.753977626002639,0.773410488717788,0.325292995366585,0.532706459525756,0.763832106841101
8,"normal_location",1,"p-EWMA(0.2)",8000,8000,0,14.05225,17.596383833845,0.196733552053279,13.6666522379756,14.4378477620244,0,"ECD",112.418,0.5885,0.577676291658514,0.599238753736687,0.882875,0.875643831346977,0.889738631994126,0.342,0.661875,0.882875
8,"normal_location",50,"p-EWMA(0.2)",10000,7411,0.2589,13.3115638915126,15.3053914229348,0.177789469544571,12.9630965312053,13.66003125182,0,"ECD",106.492511132101,0.576575360949939,0.56528901794522,0.587782357173569,0.889218728916475,0.881870211733701,0.896163940742328,0.340979624881932,0.656456618540008,0.889218728916475
8,"normal_location",1,"KS-EWMA(0.2)",8000,8000,0,12.377125,16.5706057480181,0.185265004404586,12.014005591367,12.740244408633,0,"ECD",99.017,0.640625,0.630045351766073,0.65106965680681,0.897375,0.890533087067476,0.903835457157588,0.42225,0.70625,0.897375
8,"normal_location",50,"KS-EWMA(0.2)",10000,7283,0.2717,12.2930111217905,23.2361883629459,0.272276233006196,11.7593497050983,12.8266725384826,0,"ECD",98.3440889743238,0.632431690237539,0.62129127963008,0.643432465702877,0.90182617053412,0.894779079604109,0.908449578474584,0.41342853219827,0.703007002608815,0.90182617053412
8,"normal_location",1,"Bakir Shew-KS",8000,8000,0,23.428125,33.9105120034689,0.379131049957895,22.6850281420825,24.1712218579175,0,"ECD",187.425,0.426,0.415201989783212,0.436869045705547,0.713625,0.703617963681451,0.723426969341711,0.2855,0.48075,0.713625
8,"normal_location",50,"Bakir Shew-KS",10000,7413,0.2587,23.6349656009713,32.4859848084392,0.377310626557588,22.8954367729184,24.3744944290241,0,"ECD",189.07972480777,0.415351409685687,0.404180101391693,0.426610406524777,0.708889788209902,0.69844235686013,0.719120827986639,0.282206933765007,0.469985161203292,0.708889788209902
8,"normal_scale",1,"Raw exact KS p",8000,8000,0,60.720375,67.0353406940857,0.749477893434168,59.251398328869,62.189351671131,0,"ECD",485.763,0.173,0.164868744417766,0.181445155647422,0.373125,0.362590147401943,0.383781644863411,0.108,0.20375,0.373125
8,"normal_scale",50,"Raw exact KS p",10000,7410,0.259,62.0114709851552,67.5749400538243,0.785012487181422,60.4728465102796,63.5500954600308,0,"ECD",496.091767881242,0.159379217273954,0.151221825743392,0.167889604962114,0.351417004048583,0.340626248594152,0.362361740790461,0.0967611336032389,0.187989203778677,0.351417004048583
8,"normal_scale",1,"Qtilde(0.95,1)",8000,8000,0,53.792875,62.5852265958817,0.699724105278096,52.4214157536549,55.1643342463451,0,"ECD",430.343,0.214625,0.205766252560499,0.223757690042264,0.41925,0.408478382403524,0.430099132673736,0.1475,0.247875,0.41925
8,"normal_scale",50,"Qtilde(0.95,1)",10000,7394,0.2606,58.0659994590208,64.5987205495634,0.751249495342377,56.5935504481498,59.5384484698919,0,"ECD",464.527995672167,0.173654314308899,0.165189803975577,0.182457758524274,0.381931295645118,0.370920731065891,0.393064483216069,0.108736813632675,0.204895861509332,0.381931295645118
8,"normal_scale",1,"p-EWMA(0.2)",8000,8000,0,36.62025,40.6773969332498,0.45478712345244,35.7288672380332,37.5116327619668,0,"ECD",292.962,0.2175,0.20859644334911,0.22667473942892,0.531625,0.520677640346728,0.542542001581218,0.09,0.27175,0.531625
8,"normal_scale",50,"p-EWMA(0.2)",10000,7442,0.2558,37.7863477559796,42.6019955154278,0.493838687230129,36.8184239290085,38.7542715829506,0,"ECD",302.290782047837,0.219564633163128,0.210305588530971,0.229113052875529,0.520155872077399,0.508797554527601,0.531493391226604,0.112201021230852,0.268879333512497,0.520155872077399
8,"normal_scale",1,"KS-EWMA(0.2)",8000,8000,0,35.455875,40.2568209057548,0.450084940516512,34.5737085165876,36.3380414834124,0,"ECD",283.647,0.24425,0.234959274022027,0.253786230386756,0.551875,0.54095508464152,0.562745118520922,0.12675,0.301875,0.551875
8,"normal_scale",50,"KS-EWMA(0.2)",10000,7263,0.2737,37.4916701087705,41.825500843372,0.49077578692059,36.5297495664061,38.4535906511348,0,"ECD",299.933360870164,0.233099270273991,0.223518067236729,0.242962666291301,0.531047776400936,0.519557365164835,0.542505360958161,0.12708247280738,0.281701776125568,0.531047776400936
8,"normal_scale",1,"Bakir Shew-KS",8000,8000,0,61.097875,67.567551141286,0.755428187125544,59.6172357532339,62.5785142467661,0,"ECD",488.783,0.172125,0.164010764703082,0.180553975308765,0.3725,0.361969047127879,0.383153345099373,0.1075,0.202875,0.3725
8,"normal_scale",50,"Bakir Shew-KS",10000,7386,0.2614,62.643243975088,68.4140436907493,0.796050480817463,61.0829850326858,64.2035029174902,0,"ECD",501.145951800704,0.161115624153804,0.152907734581481,0.169675850971963,0.349851069591118,0.339054914113397,0.360803334539727,0.098835634985107,0.188329271594909,0.349851069591118
20,"cauchy",1,"Raw exact KS p",8000,8000,0,36.216,40.3757367612642,0.45141446019912,35.3312276580097,37.1007723419903,0,"ECD",724.32,0.2705,0.260877506971475,0.28034279903758,0.534125,0.523180047669162,0.54503719441119,0.06125,0.148125,0.2705
